Title,Genre,Year,Certification,Rating,Director,Actors
The Vampire Diaries,Horror,2009,TV-14,7.7,,"Nina Dobrev,Paul Wesley,Ian Somerhalder,Kat Graha"
The Conference,Horror,2023,TV-MA,5.8,Patrik Eklund,"Katia Winter,Adam Lundgren,Eva Melander,Bahar Par"
Winnie the Pooh: Blood and Honey,Horror,2023,Not Rated,2.9,Rhys Frake-Waterfield,"Nikolai Leon,Maria Taylor,Natasha Rose Mills,Amber Doig-Thorn"
Ma,Horror,2019,R,5.6,Tate Taylor,"Octavia Spencer,Diana Silvers,Juliette Lewis,McKaley Mille"
Midnight Mass,Horror,2021,TV-MA,7.7,,"Kate Siegel,Zach Gilford,Kristin Lehman,Samantha Sloya"
The Changeling,Horror,2023,,6.0,,"LaKeith Stanfield,Victor LaValle,Clark Backo,Adina Porte"
The Haunted Mansion,Horror,2003,PG,5.1,Rob Minkoff,"Eddie Murphy,Marsha Thomason,Jennifer Tilly,Terence Stam"
The Shining,Horror,1980,R,8.4,Stanley Kubrick,"Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crother"
One Piece,Animation,1999,TV-14,8.9,,"Mayumi Tanaka,Akemi Okamura,Laurent Vernin,Tony Bec"
Elemental,Animation,2023,PG,7.0,Peter Sohn,"Leah Lewis,Mamoudou Athie,Ronnie Del Carmen,Shila Omm"
Jujutsu Kaisen,Animation,2020,TV-MA,8.5,,"Junya Enoki,Yûichi Nakamura,Adam McArthur,Yuma Uchid"
Rick and Morty,Animation,2013,TV-MA,9.1,,"Chris Parnell,Spencer Grammer,Sarah Chalke,Justin Roilan"
Castlevania: Nocturne,Animation,2023,TV-MA,7.6,,"Edward Bluemel,Thuso Mbedu,Pixie Davies,Richard Dorme"
Attack on Titan,Animation,2013,TV-MA,9.0,,"Josh Grelle,Bryce Papenbrook,Yûki Kaji,Yui Ishikaw"
The Simpsons,Animation,1989,TV-14,8.7,,"Dan Castellaneta,Nancy Cartwright,Julie Kavner,Harry Sheare"
PAW Patrol: The Mighty Movie,Animation,2023,PG,6.0,Cal Brunker,"Mckenna Grace,Taraji P. Henson,Marsai Martin,Christian Conver"
The Nightmare Before Christmas,Animation,1993,PG,7.9,Henry Selick,"Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hicke"
Spider-Man: Across the Spider-Verse,Animation,2023,PG,8.7,Joaquim Dos Santos,"Kemp Powers,Justin K. Thompson,Shameik Moore,Hailee Steinfeld,Brian Tyree Henry,Luna Lauren Vele"
Teenage Mutant Ninja Turtles: Mutant Mayhem,Animation,2023,PG,7.3,Jeff Rowe,"Kyler Spears,Micah Abbey,Shamon Brown Jr.,Nicolas Cantu,Brady Noo"
Star Wars: The Clone Wars,Animation,2008,TV-PG,8.4,,"Tom Kane,Dee Bradley Baker,Matt Lanter,James Arnold Taylo"
Family Guy,Animation,1999,TV-MA,8.2,,"Seth MacFarlane,Alex Borstein,Seth Green,Mila Kuni"
Adventure Time,Animation,2010,TV-PG,8.6,,"John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walc"
Star Wars Rebels,Animation,2014,TV-Y7-FV,8.1,,"Dave Filoni,Taylor Gray,Freddie Prinze Jr.,Vanessa Marshal"
Star Trek: Lower Decks,Animation,2020,TV-14,7.7,,"Tawny Newsome,Jack Quaid,Noël Wells,Eugene Corder"
Wish,Animation,2023,PG,,Chris Buck,"Fawn Veerasunthorn,Evan Peters,Chris Pine,Ariana DeBose,Alan Tudy"
Archer,Animation,2009,TV-MA,8.6,,"H. Jon Benjamin,Judy Greer,Amber Nash,Chris Parnel"
South Park,Animation,1997,TV-MA,8.7,,"Trey Parker,Matt Stone,Isaac Hayes,Mona Marshal"
Futurama,Animation,1999,TV-14,8.5,,"Billy West,John DiMaggio,Katey Sagal,Tress MacNeill"
Castlevania,Animation,2017,TV-MA,8.3,,"Richard Armitage,James Callis,Alejandra Reynoso,Theo Jame"
The Super Mario Bros. Movie,Animation,2023,PG,7.1,Aaron Horvath,"Michael Jelenic,Pierre Leduc,Fabien Polack,Chris Pratt,Anya Taylor-Joy,Charlie Day,Jack Blac"
Bob's Burgers,Animation,2011,TV-14,8.2,,"H. Jon Benjamin,Dan Mintz,Eugene Mirman,John Robert"
Adventure Time: Fionna & Cake,Animation,2023,TV-14,9.0,,"Madeleine Martin,Roz Ryan,Tom Kenny,Dee Bradley Bake"
Demon Slayer: Kimetsu no Yaiba,Animation,2019,TV-14,8.6,,"Natsuki Hanae,Zach Aguilar,Abby Trott,Akari Kit"
Coraline,Animation,2009,PG,7.7,Henry Selick,"Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunder"
Krapopolis,Animation,2023,TV-14,5.8,,"Richard Ayoade,Matt Berry,Pam Murphy,Duncan Trussel"
Invincible,Animation,2021,TV-MA,8.7,,"Steven Yeun,J.K. Simmons,Sandra Oh,Zazie Beet"
Bleach: Thousand-Year Blood War,Animation,2022,TV-MA,9.0,,"Johnny Yong Bosch,Masakazu Morita,Richard Epcar,Takayuki Sug"
BoJack Horseman,Animation,2014,TV-MA,8.8,,"Will Arnett,Amy Sedaris,Alison Brie,Aaron Pau"
Corpse Bride,Animation,2005,PG,7.4,Tim Burton,"Mike Johnson,Johnny Depp,Helena Bonham Carter,Emily Watson,Tracey Ullma"
Trolls Band Together,Animation,2023,PG,6.0,Walt Dohrn,"Tim Heitz,Justin Timberlake,Anna Kendrick,Zooey Deschanel,Daveed Digg"
"Love, Death & Robots",Animation,2019,TV-MA,8.4,,"Fred Tatasciore,Scott Whyte,Nolan North,Noshir Dala"
Bluey,Animation,2018,TV-Y,9.4,,"David McCormack,Melanie Zanetti,Ninthe van Schie,Brad Elliot"
Avatar: The Last Airbender,Animation,2005,TV-Y7-FV,9.3,,"Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sen"
Arcane,Animation,2021,TV-14,9.0,,"Hailee Steinfeld,Kevin Alejandro,Jason Spisak,Terri Dougla"
Spy x Family,Animation,2022,TV-14,8.4,,"Takuya Eguchi,Atsumi Tanezaki,Saori Hayami,Megan Shipma"
SpongeBob SquarePants,Animation,1999,TV-Y7,8.2,,"Tom Kenny,Rodger Bumpass,Bill Fagerbakke,Clancy Brow"
Over the Garden Wall,Animation,2014,TV-PG,8.8,,"Elijah Wood,Collin Dean,Melanie Lynskey,Christopher Lloy"
Once Upon a Studio,Animation,2023,G,8.8,Dan Abraham,"Trent Correy,Scott Adsit,Stan Alexander,Stephen J. Anderson,Tony Anselm"
American Dad!,Animation,2005,TV-MA,7.4,,"Seth MacFarlane,Wendy Schaal,Scott Grimes,Rachael MacFarlan"
Cars,Animation,2006,G,7.2,John Lasseter,"Joe Ranft,Owen Wilson,Bonnie Hunt,Paul Newman,Larry the Cable Gu"
The Boy and the Heron,Animation,2023,PG-13,7.6,Hayao Miyazaki,"Soma Santoki,Masaki Suda,Takuya Kimura,Aimyo"
Naruto: Shippuden,Animation,2007,TV-PG,8.7,,"Alexandre Crepet,Junko Takeuchi,Maile Flanagan,Kate Higgin"
Hotel Transylvania,Animation,2012,PG,7.0,Genndy Tartakovsky,"Adam Sandler,Kevin James,Andy Samberg,Selena Gome"
